"Area Name-Legal/Statistical Area Description","Qualifying Name","Area (Land)","Area (Water)","Summary Level","Geographic Component","Region","Division","FIPS","State (FIPS)","County","Total Population","Total Population","Population Density (per sq. mile)","Area (Land)","Total Population","Total Population: Male","Total Population: Female","Total Population","Total Population: Under 5 years","Total Population: 5 to 9 years","Total Population: 10 to 14 years","Total Population: 15 to 17 years","Total Population: 18 to 24 years","Total Population: 25 to 34 years","Total Population: 35 to 44 years","Total Population: 45 to 54 years","Total Population: 55 to 64 years","Total Population: 65 and 74 years","Total Population: 75 to 84 years","Total Population: 85 years and over","Total population","Total population: White alone","Total population: Black or African American alone","Total population: American Indian and Alaska Native alone","Total population: Asian alone","Total population: Native Hawaiian and Other Pacific Islander alone","Total population: Some Other Race alone","Total population: Two or More Races"
Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008
"Baker County","Baker County, Oregon","7947008933","51831394","050","00","4","9","41001","41","001",16134,16134,5.258188,3068.35746883769,16134,8140,7994,16134,852,848,910,670,994,1529,1668,2418,2703,2007,1094,441,16134,15264,57,181,78,9,164,381
"Benton County","Benton County, Oregon","1750680238","6917958","050","00","4","9","41003","41","003",85579,85579,126.6071,675.941429844463,85579,42868,42711,85579,3778,4109,4466,2896,19656,10414,8595,10738,10647,5384,3285,1611,85579,74506,759,627,4429,213,1985,3060
"Clackamas County","Clackamas County, Oregon","4844112024","31827481","050","00","4","9","41005","41","005",375992,375992,201.0306,1870.32212967782,375992,184925,191067,375992,21477,24038,26876,16840,28948,42801,49849,59872,54060,28451,14932,7848,375992,331571,3082,3122,13729,867,11756,11865
"Clatsop County","Clatsop County, Oregon","2147227903","661312521","050","00","4","9","41007","41","007",37039,37039,44.67647,829.049363935277,37039,18407,18632,37039,2076,2034,2111,1380,3289,4251,4085,5494,6159,3470,1893,797,37039,33680,195,362,457,86,1208,1051
"Columbia County","Columbia County, Oregon","1702546794","80219744","050","00","4","9","41009","41","009",49351,49351,75.07488,657.357028681214,49351,24722,24629,49351,2800,3128,3574,2117,3610,5374,6591,7891,7383,4063,2000,820,49351,45651,207,656,457,95,590,1695
"Coos County","Coos County, Oregon","4134068696","544389499","050","00","4","9","41011","41","011",63043,63043,39.49635,1596.17293053095,63043,31086,31957,63043,3242,3210,3277,2201,4846,6499,6339,9492,10451,7553,4323,1610,63043,56618,258,1589,660,117,1072,2729
"Crook County","Crook County, Oregon","7715797890","21192731","050","00","4","9","41013","41","013",20978,20978,7.041756,2979.08639576708,20978,10398,10580,20978,1131,1249,1397,823,1289,2132,2307,3077,3370,2532,1208,463,20978,19441,35,302,97,11,670,422
"Curry County","Curry County, Oregon","4215100613","934686544","050","00","4","9","41015","41","015",22364,22364,13.74166,1627.45953726427,22364,11041,11323,22364,851,893,1046,721,1209,1692,1984,3346,4361,3561,1927,773,22364,20574,67,426,160,21,294,822
"Deschutes County","Deschutes County, Oregon","7817065156","94747043","050","00","4","9","41017","41","017",157733,157733,52.26086,3018.18578310015,157733,77971,79762,157733,9615,10044,10346,6216,11743,19928,21229,22800,22321,13703,6877,2911,157733,145374,568,1449,1476,210,4663,3993
"Douglas County","Douglas County, Oregon","13043372940","253020349","050","00","4","9","41019","41","019",107667,107667,21.37915,5036.07470613763,107667,53151,54516,107667,5648,5824,6351,4271,8117,10808,11277,15661,17140,12196,7384,2990,107667,99471,317,1953,1040,122,1279,3485
"Gilliam County","Gilliam County, Oregon","3120439560","46700614","050","00","4","9","41021","41","021",1871,1871,1.552944,1204.80849795443,1871,965,906,1871,94,85,97,77,88,170,187,330,328,219,123,73,1871,1781,3,19,3,13,26,26
