Area Name-Legal/Statistical Area Description,Qualifying Name,Area (Land),Area (Water),Summary Level,Geographic Component,Region,Division,FIPS,State (FIPS),County,Total Population,Total Population_1,Population Density (per sq. mile),Area (Land)_1,Total Population_2,Total Population: Male,Total Population: Female,% Total Population: Male,% Total Population: Female,Total Population_3,Total Population: Under 5 years,Total Population: 5 to 9 years,Total Population: 10 to 14 years,Total Population: 15 to 17 years,Total Population: 18 to 24 years,Total Population: 25 to 34 years,Total Population: 35 to 44 years,Total Population: 45 to 54 years,Total Population: 55 to 64 years,Total Population: 65 and 74 years,Total Population: 75 to 84 years,Total Population: 85 years and over,% Total Population: Under 5 years,% Total Population: 5 to 9 years,% Total Population: 10 to 14 years,% Total Population: 15 to 17 years,% Total Population: 18 to 24 years,% Total Population: 25 to 34 years,% Total Population: 35 to 44 years,% Total Population: 45 to 54 years,% Total Population: 55 to 64 years,% Total Population: 65 and 74 years,% Total Population: 75 to 84 years,% Total Population: 85 years and over,Total population,Total population: White alone,Total population: Black or African American alone,Total population: American Indian and Alaska Native alone,Total population: Asian alone,Total population: Native Hawaiian and Other Pacific Islander alone,Total population: Some Other Race alone,Total population: Two or More Races,% Total population: White alone,% Total population: Black or African American alone,% Total population: American Indian and Alaska Native alone,% Total population: Asian alone,% Total population: Native Hawaiian and Other Pacific Islander alone,% Total population: Some Other Race alone,% Total population: Two or More Races
Baker County,"Baker County, Oregon",7947008933,51831394,050,00,4,9,41001,41,001,16134,16134,5.258188,3068.35746883769,16134,8140,7994,50.45,49.55,16134,852,848,910,670,994,1529,1668,2418,2703,2007,1094,441,5.28,5.26,5.64,4.15,6.16,9.48,10.34,14.99,16.75,12.44,6.78,2.73,16134,15264,57,181,78,9,164,381,94.61,0.35,1.12,0.48,0.06,1.02,2.36
Benton County,"Benton County, Oregon",1750680238,6917958,050,00,4,9,41003,41,003,85579,85579,126.6071,675.941429844463,85579,42868,42711,50.09,49.91,85579,3778,4109,4466,2896,19656,10414,8595,10738,10647,5384,3285,1611,4.41,4.8,5.22,3.38,22.97,12.17,10.04,12.55,12.44,6.29,3.84,1.88,85579,74506,759,627,4429,213,1985,3060,87.06,0.89,0.73,5.18,0.25,2.32,3.58
Clackamas County,"Clackamas County, Oregon",4844112024,31827481,050,00,4,9,41005,41,005,375992,375992,201.0306,1870.32212967782,375992,184925,191067,49.18,50.82,375992,21477,24038,26876,16840,28948,42801,49849,59872,54060,28451,14932,7848,5.71,6.39,7.15,4.48,7.7,11.38,13.26,15.92,14.38,7.57,3.97,2.09,375992,331571,3082,3122,13729,867,11756,11865,88.19,0.82,0.83,3.65,0.23,3.13,3.16
Clatsop County,"Clatsop County, Oregon",2147227903,661312521,050,00,4,9,41007,41,007,37039,37039,44.67647,829.049363935277,37039,18407,18632,49.7,50.3,37039,2076,2034,2111,1380,3289,4251,4085,5494,6159,3470,1893,797,5.6,5.49,5.7,3.73,8.88,11.48,11.03,14.83,16.63,9.37,5.11,2.15,37039,33680,195,362,457,86,1208,1051,90.93,0.53,0.98,1.23,0.23,3.26,2.84
Columbia County,"Columbia County, Oregon",1702546794,80219744,050,00,4,9,41009,41,009,49351,49351,75.07488,657.357028681214,49351,24722,24629,50.09,49.91,49351,2800,3128,3574,2117,3610,5374,6591,7891,7383,4063,2000,820,5.67,6.34,7.24,4.29,7.31,10.89,13.36,15.99,14.96,8.23,4.05,1.66,49351,45651,207,656,457,95,590,1695,92.5,0.42,1.33,0.93,0.19,1.2,3.43
Coos County,"Coos County, Oregon",4134068696,544389499,050,00,4,9,41011,41,011,63043,63043,39.49635,1596.17293053095,63043,31086,31957,49.31,50.69,63043,3242,3210,3277,2201,4846,6499,6339,9492,10451,7553,4323,1610,5.14,5.09,5.2,3.49,7.69,10.31,10.06,15.06,16.58,11.98,6.86,2.55,63043,56618,258,1589,660,117,1072,2729,89.81,0.41,2.52,1.05,0.19,1.7,4.33
Crook County,"Crook County, Oregon",7715797890,21192731,050,00,4,9,41013,41,013,20978,20978,7.041756,2979.08639576708,20978,10398,10580,49.57,50.43,20978,1131,1249,1397,823,1289,2132,2307,3077,3370,2532,1208,463,5.39,5.95,6.66,3.92,6.14,10.16,11,14.67,16.06,12.07,5.76,2.21,20978,19441,35,302,97,11,670,422,92.67,0.17,1.44,0.46,0.05,3.19,2.01
Curry County,"Curry County, Oregon",4215100613,934686544,050,00,4,9,41015,41,015,22364,22364,13.74166,1627.45953726427,22364,11041,11323,49.37,50.63,22364,851,893,1046,721,1209,1692,1984,3346,4361,3561,1927,773,3.81,3.99,4.68,3.22,5.41,7.57,8.87,14.96,19.5,15.92,8.62,3.46,22364,20574,67,426,160,21,294,822,92,0.3,1.9,0.72,0.09,1.31,3.68
Deschutes County,"Deschutes County, Oregon",7817065156,94747043,050,00,4,9,41017,41,017,157733,157733,52.26086,3018.18578310015,157733,77971,79762,49.43,50.57,157733,9615,10044,10346,6216,11743,19928,21229,22800,22321,13703,6877,2911,6.1,6.37,6.56,3.94,7.44,12.63,13.46,14.45,14.15,8.69,4.36,1.85,157733,145374,568,1449,1476,210,4663,3993,92.16,0.36,0.92,0.94,0.13,2.96,2.53
Douglas County,"Douglas County, Oregon",13043372940,253020349,050,00,4,9,41019,41,019,107667,107667,21.37915,5036.07470613763,107667,53151,54516,49.37,50.63,107667,5648,5824,6351,4271,8117,10808,11277,15661,17140,12196,7384,2990,5.25,5.41,5.9,3.97,7.54,10.04,10.47,14.55,15.92,11.33,6.86,2.78,107667,99471,317,1953,1040,122,1279,3485,92.39,0.29,1.81,0.97,0.11,1.19,3.24
Gilliam County,"Gilliam County, Oregon",3120439560,46700614,050,00,4,9,41021,41,021,1871,1871,1.552944,1204.80849795443,1871,965,906,51.58,48.42,1871,94,85,97,77,88,170,187,330,328,219,123,73,5.02,4.54,5.18,4.12,4.7,9.09,9.99,17.64,17.53,11.7,6.57,3.9,1871,1781,3,19,3,13,26,26,95.19,0.16,1.02,0.16,0.69,1.39,1.39
Grant County,"Grant County, Oregon",11728867794,1893802,050,00,4,9,41023,41,023,7445,7445,1.644017,4528.54118551901,7445,3699,3746,49.68,50.32,7445,338,365,445,282,414,641,735,1114,1351,986,534,240,4.54,4.9,5.98,3.79,5.56,8.61,9.87,14.96,18.15,13.24,7.17,3.22,7445,7070,14,91,24,8,67,171,94.96,0.19,1.22,0.32,0.11,0.9,2.3
Harney County,"Harney County, Oregon",26244789736,241492856,050,00,4,9,41025,41,025,7422,7422,0.732446,10133.1706061959,7422,3778,3644,50.9,49.1,7422,403,447,458,356,495,749,786,1148,1178,802,432,168,5.43,6.02,6.17,4.8,6.67,10.09,10.59,15.47,15.87,10.81,5.82,2.26,7422,6819,19,232,35,1,95,221,91.88,0.26,3.13,0.47,0.01,1.28,2.98
Hood River County,"Hood River County, Oregon",1351841432,29106836,050,00,4,9,41027,41,027,22346,22346,42.81262,521.948907871388,22346,11173,11173,50,50,22346,1487,1631,1688,1001,1714,2772,3112,3434,2700,1383,942,482,6.65,7.3,7.55,4.48,7.67,12.4,13.93,15.37,12.08,6.19,4.22,2.16,22346,18568,101,181,314,37,2439,706,83.09,0.45,0.81,1.41,0.17,10.91,3.16
Jackson County,"Jackson County, Oregon",7209356169,46880700,050,00,4,9,41029,41,029,203206,203206,73.00251,2783.5481430802,203206,99002,104204,48.72,51.28,203206,11972,11775,12582,7983,17442,23470,23096,28822,30230,18847,11566,5421,5.89,5.79,6.19,3.93,8.58,11.55,11.37,14.18,14.88,9.27,5.69,2.67,203206,180172,1372,2386,2364,595,9200,7117,88.66,0.68,1.17,1.16,0.29,4.53,3.5
Jefferson County,"Jefferson County, Oregon",4612211364,26231709,050,00,4,9,41031,41,031,21720,21720,12.19687,1780.7847758368,21720,11256,10464,51.82,48.18,21720,1551,1442,1540,957,1799,2399,2701,3048,2952,2086,968,277,7.14,6.64,7.09,4.41,8.28,11.05,12.44,14.03,13.59,9.6,4.46,1.28,21720,14996,138,3667,93,25,1977,824,69.04,0.64,16.88,0.43,0.12,9.1,3.79
Josephine County,"Josephine County, Oregon",4246719858,5644013,050,00,4,9,41033,41,033,82713,82713,50.44498,1639.66772973466,82713,40240,42473,48.65,51.35,82713,4198,4428,4986,3271,5761,7852,8493,11839,13447,9895,5879,2664,5.08,5.35,6.03,3.95,6.97,9.49,10.27,14.31,16.26,11.96,7.11,3.22,82713,76449,347,1133,681,145,1282,2676,92.43,0.42,1.37,0.82,0.18,1.55,3.24
